name,ring,quadrant,isNew,description
SonarCloud,Adopt,Dev Tools,Yes,"Static Code Analysis tool for detecting ""code smells"", preventing bugs, security issues, etc."
JFrog/Artifactory,Adopt,Dev Tools,No,"<a href=""https://creditas.jfrog.io"">JFrog</a> (formerly Artifactory) is a SaaS for hosting development artifacts like JARs, Ruby gems and Python packages developed internally by Creditas"
IntelliJ IDEA,Adopt,Dev Tools,Yes,"<a href=""https://www.jetbrains.com/idea/"">IntelliJ IDEA</a> is a Java IDE from JetBrains with both free and commercial licenses. The Community Edition can be used free of charge, for Ultimate Edition licenses file a ticket to Service Desk."
PyCharm,Adopt,Dev Tools,No,"<a href=""https://www.jetbrains.com/pycharm/"">PyCharm</a> is a Python IDE from JetBrains with both free and commercial licenses. The Community Edition can be used free of charge, for Professional Edition licenses file a ticket to Service Desk."
WebStorm,Adopt,Dev Tools,No,"<a href=""https://www.jetbrains.com/webstorm/"">WebStorm</a> is a <strong>commercial</strong> Javascript IDE from JetBrains. To request a license, file a ticket to Service Desk."
DataGrip,Adopt,Dev Tools,No,"<a href=""https://www.jetbrains.com/datagrip/"">DataGrip</a> is a <strong>commercial</strong> database IDE from JetBrains. To request a licenses, file a ticket to Service Desk."
cliditas,Adopt,Dev Tools,No,"<b><code><a href=""https://github.com/creditas/cliditas"">cliditas</a></code></b> is a CLI to manage application deployments on Creditas software development platform environments in Nucleon."
Sentry,Adopt,Dev Tools,No,"<a href=""https://sentry.io/auth/login/creditas-zb/"">Sentry</a> is Application monitoring and error tracking, heavily used by Mobile team, and also by other teams"
Rollbar,Hold,Dev Tools,No,Rollbar is an error tracking service which was replaced by Sentry
Backstage,Adopt,Platform,Yes,"Backstage is a platform for building developer portals, and it's the base for our <a href=""https://developerhub.creditas.io/"">Developer Hub</a>"
CircleCI,Adopt,Platform,Yes,CircleCI is the standard Continuous Integration platform at Creditas.
Jenkins,Hold,Platform,No,"<a href=""https://jenkins.io"">Jenkins</a> is a legacy Continuous Integration software used by Creditoo (Payroll) legacy applications. New applications and services should use CircleCI instead."
GitHub,Adopt,Platform,No,"<a href=""https://github.com/creditas"">GitHub</a> is our source control platform"
GitHub Actions,Trial,Platform,Yes,GitHub Actions is a Continuous Integration platform native to GitHub.
Kong API Gateway,Adopt,Platform,No,"<a href=""https://github.com/Creditas/kong"">Kong</a> is our API Gateway, responsible for exposing Creditas' APIs to the internet"
AWS API Gateway,Hold,Platform,No,"AWS API Gateway was used prior to adopting Kong, but it has shown to be too limited and complex"
Nucleon,Adopt,Platform,No,"<b><a href=""https://github.com/Creditas/nucleon"">Nucleon</a></b> is Creditas' PaaS, and its main objective is to enable developers to focus on solving business needs instead of managing infrastructure.
Nucleon consists of some components that are built on top of other tools and services, like Terraform and Kubernetes."
New Relic,Adopt,Platform,No,"Platform for monitoring application performance (APM), availability, and much more."
Datadog,Assess,Platform,Yes,CORE is currently evaluating Datadog as a replacement for New Relic
Log Entries/Rapid7,Hold,Platform,No,"LogEntries is a SaaS for logging. <b>We don't have a contract with them anymore, and using is is a legal and security liability.</b>"
Cloudwatch Logs,Adopt,Platform,No,"Cloudwatch Logs, the AWS native logging platform, should only be used in legacy services not migrated to Nucleon yet"
Elixir,Hold,Languages & Frameworks,Yes,Elixir was used by Bcredi developers but we don't recommend new applications or services to be written in Elixir because it doesn't have a large community or tooling support
Kotlin,Adopt,Languages & Frameworks,No,Kotlin is the main programming language used in Creditas
Node.js,Trial,Languages & Frameworks,No,
Sagemaker notebooks,Adopt,Data Management,Yes,"An <a href=""https://docs.aws.amazon.com/sagemaker/latest/dg/nbi.html"">Amazon SageMaker</a> notebook instance is a machine learning (ML) compute instance running the Jupyter Notebook App"
MLflow,Adopt,Data Management,No,"<a href=""https://mlflow.org/"">MLflow</a> is an open source platform to manage the ML lifecycle, including experimentation, reproducibility, deployment, and a central model registry."
Python,Adopt,Languages & Frameworks,No,Doc - Python is an interpreted high-level general-purpose programming language.
Airflow,Adopt,Data Management,No,"<a href=""https://airflow.apache.org/docs/apache-airflow/stable/index.html"">Airflow</a> is a platform to programmatically author, schedule and monitor workflows."
Kafka,Adopt,Data Management,No,"<a href=""https://kafka.apache.org/"">Apache Kafka</a> is an open-source distributed event streaming platform used or high-performance data pipelines, streaming analytics, data integration, and mission-critical applications."
ksqlDB,Adopt,Data Management,Yes,"<a href=""https://www.confluent.io/product/ksql/"">ksqlDB</a> is built on top of Kafka Streams, a lightweight, powerful Java library for enriching, transforming, and processing real-time streams of data."
Kibana,Adopt,Data Management,Yes,"<a href=""https://www.elastic.co/kibana/"">Kibana</a> is a data visualization dashboard software for Elasticsearch."
Prometheus,Adopt,Data Management,Yes,"<a href=""https://prometheus.io/>Prometheus</a> is a software application used for event monitoring and alerting."
RDS,Adopt,Data Management,Yes,"<a href=""https://aws.amazon.com/rds/"">Amazon Relational Database Service</a> is a distributed relational database service by Amazon Web Services. "
Neptune,Adopt,Data Management,Yes,"<a href=""https://aws.amazon.com/neptune/"">Amazon Neptune</a> is a fast, fully managed database service powering graph use cases such as identity graphs, knowledge graphs, and fraud detection."
Apache Hudi,Adopt,Data Management,Yes,"<a href=""https://hudi.apache.org/"">Hudi</a> is a rich platform to build streaming data lakes with incremental data pipelines  on a self-managing database layer, while being optimized for lake engines and regular batch processing."
Apache Spark,Adopt,Data Management,No,"<a href=""https://spark.apache.org/"">Apache Spark</a> is a multi-language engine for executing data engineering, data science, and machine learning on single-node machines or clusters."
